estado;cidade;populacao;pib;pib_percapita
RIO GRANDE DO NORTE;APODI;35768;263993.9375;7380.72998047
ESPIRITO SANTO;PINHEIROS;23874;390701.78125;16365.16015625
RIO GRANDE DO SUL;AMARAL FERRADOR;6602;61648.3125;9337.8203125
CEARÁ;BANABUIÚ;18388;76052.234375;4135.97021484
BAHIA;ANTÔNIO CARDOSO;12589;52209.5390625;4147.22998047
PARÁ;FLORESTA DO ARAGUAIA;15629;178405.46875;11415.03027344
PIAUÍ;BONFIM DO PIAUÍ;5376;16210.26757812;3015.30004883
BAHIA;CORAÇÃO DE MARIA;23774;98000.1328125;4122.16015625
MARANHÃO;MATINHA;21204;59626.1484375;2812.02001953
BAHIA;ITAJUÍPE;20490;114653.1328125;5595.56982422
SÃO PAULO;RUBINÉIA;2611;32480.0859375;12439.70996094
MARANHÃO;PEDRO DO ROSÁRIO;22856;61557.19140625;2693.26000977
AMAZONAS;URUCARÁ;15780;69487.6171875;4403.52001953
SÃO PAULO;FLÓRIDA PAULISTA;13761;150708.21875;10951.83984375
RONDÔNIA;ALTO PARAÍSO;17569;179099.90625;10194.08984375
PARAÍBA;NOVA PALMEIRA;4087;18423.50976562;4507.83007812
MINAS GERAIS;FRUTA DE LEITE;6426;28000.19335938;4357.33007812
SÃO PAULO;SÃO JOSÉ DO RIO PRETO;419632;7879047.5;18776.08984375
TOCANTINS;CARRASCO BONITO;3428;17363.93945312;5065.33007812
MARANHÃO;SÃO BENTO;39312;105918.0234375;2694.29003906
PIAUÍ;PIRACURUCA;26499;95474.390625;3602.93994141
RIO GRANDE DO SUL;TOROPI;3138;33232.0625;10590.20019531
GOIÁS;GOIÂNIA;1281975;21386530.0;16682.49023438
MINAS GERAIS;ITURAMA;33231;561480.75;16896.2890625
PARANÁ;PIRAQUARA;87285;479121.625;5489.16015625
SANTA CATARINA;BENEDITO NOVO;10335;119515.8359375;11564.1796875
PARANÁ;PAULA FREITAS;5751;82812.2734375;14399.62988281
RONDÔNIA;CACOAL;78675;908886.375;11552.41992188
MARANHÃO;URBANO SANTOS;22938;72605.1171875;3165.2800293
PARANÁ;CONSELHEIRO MAIRINCK;3700;31834.11132812;8603.80957031
MATO GROSSO DO SUL;BELA VISTA;23726;224436.546875;9459.51953125
SANTA CATARINA;CORONEL FREITAS;10520;165294.203125;15712.37988281
PARAÍBA;SOSSÊGO;3089;12804.03125;4145.04003906
BAHIA;SERRA DOURADA;17858;73857.125;4135.79980469
MINAS GERAIS;CANTAGALO;4132;20845.33789062;5044.85009766
RIO GRANDE DO SUL;TIRADENTES DO SUL;6991;63663.21875;9106.45019531
MATO GROSSO;JUARA;33246;638522.3125;19205.99023438
RIO GRANDE DO NORTE;MACAU;28157;351046.15625;12467.45996094
RIO GRANDE DO NORTE;GOVERNADOR DIX-SEPT ROSADO;12835;99473.234375;7750.14990234
MINAS GERAIS;BERTÓPOLIS;4780;25044.66210938;5239.47021484
PARANÁ;NOVA PRATA DO IGUAÇU;10822;111186.0703125;10274.08007812
TOCANTINS;AUGUSTINÓPOLIS;15469;88066.859375;5693.12011719
MINAS GERAIS;SÃO JOÃO DA MATA;2981;25577.03710938;8580.01953125
RIO GRANDE DO NORTE;VILA FLOR;2745;15206.66503906;5539.77001953
PARAÍBA;SÃO SEBASTIÃO DE LAGOA DE ROÇA;11320;41455.34375;3662.12988281
RIO GRANDE DO SUL;DOUTOR MAURÍCIO CARDOSO;5424;87776.3203125;16182.95019531
RIO GRANDE DO NORTE;PATU;11671;48704.7890625;4173.14990234
SÃO PAULO;SÃO JOSÉ DO RIO PARDO;53281;1017558.25;19097.9609375
SÃO PAULO;UBIRAJARA;4472;45077.65625;10079.98046875
ESPIRITO SANTO;VENDA NOVA DO IMIGRANTE;20028;232603.6875;11613.91992188
GOIÁS;MONTIVIDIU DO NORTE;4702;29883.86914062;6355.56982422
MINAS GERAIS;COQUEIRAL;9747;90365.3359375;9271.08984375
SÃO PAULO;CAIUÁ;5447;101315.828125;18600.30078125
RIO GRANDE DO SUL;ITAPUCA;2465;30261.02734375;12276.28027344
CEARÁ;GENERAL SAMPAIO;6654;25142.140625;3778.5
RIO GRANDE DO SUL;CENTENÁRIO;3100;34176.51953125;11024.6796875
RIO GRANDE DO SUL;POÇO DAS ANTAS;2098;25569.375;12187.5
SÃO PAULO;IBITINGA;53148;711619.875;13389.40039062
MINAS GERAIS;GUARARÁ;4114;25999.40429688;6319.74023438
PARANÁ;CAMPINA DO SIMÃO;4272;40686.328125;9523.95019531
MATO GROSSO;TABAPORÃ;10760;192724.125;17911.16015625
PARAÍBA;OLIVEDOS;3622;16201.1015625;4472.97021484
TOCANTINS;TAIPAS DO TOCANTINS;1999;11962.875;5984.43017578
MINAS GERAIS;CÁSSIA;17587;189470.96875;10773.34960938
PERNAMBUCO;BOM JARDIM;40924;155675.359375;3804.01000977
PARANÁ;CAMPO LARGO;112548;1341769.875;11921.75976562
ALAGOAS;MAJOR ISIDORO;19530;73942.796875;3786.11010742
RIO GRANDE DO SUL;COTIPORÃ;4887;91603.8125;18744.390625
AMAZONAS;AUTAZES;31774;136269.859375;4288.72021484
MINAS GERAIS;MONSENHOR PAULO;7582;91459.2890625;12062.69042969
BAHIA;CONCEIÇÃO DA FEIRA;20117;91810.5546875;4563.83007812
MINAS GERAIS;CENTRALINA;10557;97284.4921875;9215.16015625
MINAS GERAIS;SANTANA DE PIRAPAMA;8820;58472.24609375;6629.50976562
SANTA CATARINA;TIGRINHOS;1768;21709.40429688;12279.0703125
PARAÍBA;QUIXABÁ;1488;8294.52832031;5574.27978516
PARÁ;CURUÁ;12984;51835.18359375;3992.23999023
CEARÁ;JATI;7518;28813.19335938;3832.56005859
MARANHÃO;APICUM-AÇU;13890;37902.859375;2728.79003906
SERGIPE;SIRIRI;7946;77082.734375;9700.8203125
SÃO PAULO;RIFAINA;3826;35500.32421875;9278.70996094
TOCANTINS;TOCANTINÓPOLIS;21826;124657.0;5711.39990234
CEARÁ;UMARI;7891;25433.55859375;3223.11010742
PIAUÍ;CABECEIRAS DO PIAUÍ;9826;32028.62890625;3259.58007812
MINAS GERAIS;BARRA LONGA;7050;37351.96875;5298.14990234
SÃO PAULO;LOURDES;2032;24232.84960938;11925.62011719
RIO GRANDE DO SUL;PIRAPÓ;2979;29192.28320312;9799.36035156
RIO GRANDE DO NORTE;SERRA DO MEL;9627;63727.42578125;6619.66015625
ESPIRITO SANTO;ITARANA;10667;87713.796875;8222.91015625
SANTA CATARINA;FAXINAL DOS GUEDES;10585;209834.78125;19823.7890625
MARANHÃO;VIANA;49348;149946.109375;3038.54003906
CEARÁ;ITAIÇABA;7955;27905.3046875;3507.89990234
BAHIA;RIO DO PIRES;11612;36504.28125;3143.66992188
GOIÁS;SÍTIO D'ABADIA;3510;22326.18945312;6360.74023438
ALAGOAS;COLÔNIA LEOPOLDINA;20181;106579.515625;5281.18017578
BAHIA;ANTAS;17583;54676.39453125;3109.62011719
MINAS GERAIS;FAMA;2259;24727.68554688;10946.29980469
RIO GRANDE DO SUL;BARRA DO QUARAÍ;3873;108110.9609375;27914.00976562
CEARÁ;MIRAÍMA;12737;37922.73046875;2977.37011719
BAHIA;BUERAREMA;20830;100712.015625;4834.95019531
RIO GRANDE DO SUL;NOVA ALVORADA;3258;74690.0625;22925.13085938
MINAS GERAIS;CARATINGA;85472;684352.375;8006.74023438
PERNAMBUCO;CORRENTES;16686;69621.140625;4172.43017578
MATO GROSSO DO SUL;ANAURILÂNDIA;8697;106112.8203125;12201.08007812
MATO GROSSO;CLÁUDIA;11148;168539.03125;15118.3203125
RIO GRANDE DO SUL;MORRO REDONDO;6477;67334.1640625;10395.88964844
MINAS GERAIS;ERVÁLIA;18855;114948.84375;6096.45996094
SANTA CATARINA;CAPINZAL;18996;579022.8125;30481.30078125
RONDÔNIA;SÃO FRANCISCO DO GUAPORÉ;16491;204591.984375;12406.28027344
RIO GRANDE DO SUL;HORIZONTINA;19131;531785.875;27797.08007812
SÃO PAULO;TORRINHA;9278;89145.484375;9608.26953125
RIO GRANDE DO SUL;ERNESTINA;3094;60428.63671875;19530.91015625
RIO GRANDE DO NORTE;BARAÚNA;24347;130860.6796875;5374.81982422
MATO GROSSO DO SUL;JARDIM;24174;217905.640625;9014.04980469
PARAÍBA;LIVRAMENTO;7330;28879.02539062;3939.84008789
BAHIA;BOQUIRA;22521;67164.5625;2982.31005859
ESPIRITO SANTO;COLATINA;111365;1724502.25;15485.13964844
PARAÍBA;MARCAÇÃO;7606;33224.39453125;4368.18017578
SÃO PAULO;URUPÊS;12388;157686.28125;12728.95019531
PARANÁ;PITANGA;35052;355735.15625;10148.78027344
PIAUÍ;AROAZES;6019;24428.75195312;4058.61010742
MATO GROSSO;QUERÊNCIA;11570;509606.8125;44045.53125
SÃO PAULO;ALUMÍNIO;16427;1693931.125;103118.7109375
PARAÍBA;CONDADO;6925;32832.8359375;4741.20019531
SANTA CATARINA;GAROPABA;16710;197513.6875;11820.08984375
MARANHÃO;SÃO DOMINGOS DO MARANHÃO;33506;117008.640625;3492.16992188
GOIÁS;CABECEIRAS;6794;112414.140625;16546.08984375
MATO GROSSO;TORIXORÉU;4113;56733.08984375;13793.59960938
RIO GRANDE DO NORTE;JARDIM DE PIRANHAS;14347;75420.5234375;5256.87988281
MINAS GERAIS;JEQUITINHONHA;25060;117934.671875;4706.08984375
SÃO PAULO;SANTA MARIA DA SERRA;5920;72653.828125;12272.61035156
PERNAMBUCO;GRANITO;6955;31242.37304688;4492.06982422
BAHIA;PALMAS DE MONTE ALTO;22061;77169.4921875;3498.01000977
MINAS GERAIS;JORDÂNIA;11337;45021.6328125;3971.20996094
GOIÁS;INACIOLÂNDIA;5949;78616.3671875;13215.05957031
RIO GRANDE DO SUL;SÃO JOSÉ DOS AUSENTES;3314;100045.2109375;30188.66015625
PARAÍBA;MÃE D'ÁGUA;4127;16183.31152344;3921.33007812
BAHIA;SANTA BRÍGIDA;15652;52940.23828125;3382.33007812
PARANÁ;CURIÚVA;15217;95654.953125;6286.06005859
GOIÁS;VILA PROPÍCIO;5359;89775.4375;16752.26953125
MATO GROSSO DO SUL;PORTO MURTINHO;15527;227898.8125;14677.58007812
RIO GRANDE DO SUL;SANTO ANTÔNIO DAS MISSÕES;12016;150622.046875;12535.12011719
SANTA CATARINA;ÁGUAS MORNAS;4503;53939.671875;11978.61035156
PIAUÍ;NOVO ORIENTE DO PIAUÍ;6321;20731.03125;3279.70996094
ALAGOAS;CORURIPE;53369;463296.53125;8681.0
PARANÁ;ALTÔNIA;20764;141398.46875;6809.79003906
ALAGOAS;NOVO LINO;12449;47015.875;3776.67993164
MATO GROSSO;SÃO JOSÉ DO XINGU;4218;95578.59375;22659.69921875
SÃO PAULO;CAMPOS NOVOS PAULISTA;5014;83582.3515625;16669.7890625
PIAUÍ;FLORESTA DO PIAUÍ;2643;9299.80566406;3518.65991211
MARANHÃO;DAVINÓPOLIS;12091;35339.9140625;2922.83007812
MINAS GERAIS;ESPERA FELIZ;21612;187388.671875;8670.58007812
SÃO PAULO;ORIENTE;6382;53553.72265625;8391.37011719
SÃO PAULO;ARUJÁ;80922;1529719.875;18903.63085938
RIO GRANDE DO SUL;ESMERALDA;3383;60363.6640625;17843.24023438
RIO GRANDE DO SUL;CACHOEIRINHA;118089;3224373.75;27304.609375
SANTA CATARINA;TROMBUDO CENTRAL;6520;132319.421875;20294.390625
SANTA CATARINA;LAURENTINO;5757;140022.296875;24322.08984375
MATO GROSSO DO SUL;IVINHEMA;21067;215205.796875;10215.29980469
PARAÍBA;POÇO DANTAS;4046;14053.37597656;3473.39990234
MINAS GERAIS;ITUETA;6074;43540.2421875;7168.29980469
BAHIA;ITAPEBI;12003;170321.296875;14189.88964844
RIO GRANDE DO SUL;DONA FRANCISCA;3593;40484.5625;11267.62011719
MARANHÃO;SÃO JOSÉ DE RIBAMAR;139473;473406.96875;3394.26000977
MINAS GERAIS;CAETANÓPOLIS;10040;78357.734375;7804.56005859
PARANÁ;TAMBOARA;4804;47812.11328125;9952.55957031
RIO GRANDE DO SUL;HULHA NEGRA;6448;92290.2734375;14313.00976562
MINAS GERAIS;CARVALHÓPOLIS;3380;26304.3515625;7782.35009766
SÃO PAULO;COSMÓPOLIS;59297;804188.75;13562.04980469
SANTA CATARINA;PORTO BELO;14228;413353.3125;29052.09960938
SÃO PAULO;TAPIRAÍ;7991;69275.9609375;8669.25
SÃO PAULO;PAULÍNIA;84577;7779836.5;91985.25
RIO GRANDE DO SUL;MAMPITUBA;2972;27385.796875;9214.59960938
SÃO PAULO;SANTA CRUZ DA CONCEIÇÃO;4154;56048.78125;13492.73046875
MINAS GERAIS;ARAGUARI;111095;1915200.25;17239.30078125
MATO GROSSO;RIBEIRÃO CASCALHEIRA;9172;102114.3125;11133.26953125
SÃO PAULO;OURINHOS;104542;1470158.625;14062.84960938
BAHIA;RAFAEL JAMBEIRO;24004;96287.0234375;4011.29003906
PIAUÍ;PEDRO LAURENTINO;2418;9352.91113281;3868.04003906
SÃO PAULO;JUNQUEIRÓPOLIS;19976;218303.9375;10928.30957031
MATO GROSSO;PEDRA PRETA;16461;370495.65625;22507.48046875
PARANÁ;SALGADO FILHO;4640;51527.42578125;11105.04980469
RIO GRANDE DO SUL;TAPES;17216;199885.421875;11610.45019531
RIO DE JANEIRO;ARMAÇÃO DOS BÚZIOS;28653;930198.0;32464.25
ALAGOAS;ÁGUA BRANCA;19989;59232.4921875;2963.25
PARANÁ;ANTÔNIO OLINTO;7750;66815.1640625;8621.30957031
TOCANTINS;JUARINA;2185;16428.97851562;7518.97998047
PERNAMBUCO;SALGADINHO;8214;26129.82421875;3181.12988281
TOCANTINS;PONTE ALTA DO TOCANTINS;6818;46223.703125;6779.66015625
MATO GROSSO;POCONÉ;32162;283639.59375;8819.08984375
ALAGOAS;PALMEIRA DOS ÍNDIOS;72564;358377.4375;4938.77978516
PARANÁ;SALTO DO LONTRA;12828;116895.6953125;9112.54003906
RIO GRANDE DO SUL;ARAMBARÉ;3929;72357.953125;18416.38085938
MINAS GERAIS;ARAÇAÍ;2524;24059.359375;9532.23046875
MARANHÃO;SÃO FÉLIX DE BALSAS;4442;19039.73632812;4286.29980469
BAHIA;BONINAL;13857;40729.69921875;2939.29003906
BAHIA;MALHADA;16739;65119.53125;3890.29003906
MINAS GERAIS;JANAÚBA;68527;510184.3125;7445.00976562
SÃO PAULO;TAQUARIVAÍ;5541;92248.1015625;16648.27929688
PIAUÍ;JUREMA;4559;16599.84765625;3641.12011719
SANTA CATARINA;BLUMENAU;299416;7678830.0;25646.01953125
MINAS GERAIS;BAMBUÍ;22622;255803.46875;11307.73046875
MATO GROSSO DO SUL;COXIM;32933;407916.5;12386.25
SANTA CATARINA;CORUPÁ;13380;201837.359375;15085.0
PIAUÍ;CORRENTE;25406;112566.0234375;4430.68994141
PARANÁ;MARILENA;6704;49661.875;7407.79980469
PARANÁ;GUARAQUEÇABA;7843;52802.35546875;6732.41992188
AMAZONAS;ANAMÃ;8673;41735.99609375;4812.18017578
RIO GRANDE DO SUL;TAVARES;5283;59011.0859375;11170.0
AMAPÁ;VITÓRIA DO JARI;11519;99332.9140625;8623.40039062
MATO GROSSO;NOVA MUTUM;26874;1200944.375;44687.9609375
PARANÁ;MARIÓPOLIS;5944;98934.5390625;16644.43945312
PARANÁ;LARANJEIRAS DO SUL;31641;289793.3125;9158.79003906
CEARÁ;FRECHEIRINHA;13537;51840.0859375;3829.51000977
RIO GRANDE DO SUL;BALNEÁRIO PINHAL;11840;96947.640625;8188.14990234
PARÁ;VISEU;55512;158801.546875;2860.66992188
PARANÁ;TOLEDO;116774;2426511.75;20779.55078125
GOIÁS;NOVA VENEZA;7240;74443.796875;10282.29003906
SÃO PAULO;GUARÁ;19168;250581.265625;13072.90039062
SANTA CATARINA;FLORIANÓPOLIS;408161;8287890.0;20305.43945312
MINAS GERAIS;ÁGUA COMPRIDA;2164;79914.15625;36928.91015625
MINAS GERAIS;ARAXÁ;92927;1980481.75;21312.23046875
SÃO PAULO;ITANHAÉM;87338;824090.75;9435.65039062
ALAGOAS;BATALHA;16919;66246.3359375;3915.5
MINAS GERAIS;UNAÍ;78125;1310654.375;16776.38085938
BAHIA;NOVA CANAÃ;20311;66926.8984375;3295.11010742
PARANÁ;SÃO JOÃO;11187;187602.453125;16769.6796875
PIAUÍ;MARCOLÂNDIA;7477;28607.55859375;3826.07006836
SÃO PAULO;VALENTIM GENTIL;10082;152630.0625;15138.87011719
MINAS GERAIS;UBERLÂNDIA;634345;16165950.0;25484.48046875
PIAUÍ;CURRALINHOS;4242;11285.45605469;2660.40991211
PIAUÍ;BRASILEIRA;7970;21723.94335938;2725.70996094
MINAS GERAIS;CARMO DA CACHOEIRA;12061;115186.890625;9550.36035156
SÃO PAULO;ALAMBARI;4391;64996.13671875;14802.12988281
MARANHÃO;SÃO RAIMUNDO DAS MANGABEIRAS;16594;374489.0625;22567.74023438
MARANHÃO;ZÉ DOCA;46265;185139.734375;4001.7199707
SÃO PAULO;TACIBA;5675;258140.546875;45487.3203125
BAHIA;UTINGA;20448;83166.9765625;4067.23999023
SÃO PAULO;ENGENHEIRO COELHO;14300;219832.53125;15372.90039062
TOCANTINS;SÃO BENTO DO TOCANTINS;4666;21279.5;4560.54003906
SÃO PAULO;PARANAPANEMA;17752;291595.78125;16426.08007812
TOCANTINS;TOCANTÍNIA;6971;28673.05273438;4113.18994141
PARAÍBA;BARAÚNA;4045;16776.06835938;4147.35986328
BAHIA;UIBAÍ;14203;45636.62109375;3213.16992188
MINAS GERAIS;PINGO-D'ÁGUA;4201;20092.6015625;4782.81005859
RIO GRANDE DO NORTE;SERRA NEGRA DO NORTE;7428;34102.24609375;4591.04003906
GOIÁS;SIMOLÂNDIA;7331;33332.49609375;4546.79003906
PARANÁ;CAPITÃO LEÔNIDAS MARQUES;13870;409720.78125;29540.0703125
SANTA CATARINA;RIO DOS CEDROS;10170;140995.3125;13863.84960938
SÃO PAULO;ITAPUÍ;12536;211197.859375;16847.31054688
MINAS GERAIS;IGUATAMA;7727;223230.46875;28889.66992188
PARAÍBA;LAGOA SECA;25766;116892.609375;4536.70019531
PERNAMBUCO;TACAIMBÓ;12273;50004.21484375;4074.33007812
PARANÁ;SAPOPEMA;6800;51161.984375;7523.81982422
SANTA CATARINA;IPUMIRIM;7400;186467.6875;25198.33984375
PARANÁ;OURIZONA;3380;48806.203125;14439.70996094
AMAZONAS;NOVO AIRÃO;15915;61709.34765625;3877.42993164
MINAS GERAIS;ALTO CAPARAÓ;5312;47253.37890625;8895.58984375
BAHIA;POTIRAGUÁ;9656;42641.50390625;4416.06005859
SANTA CATARINA;LUIZ ALVES;9506;207784.828125;21858.27929688
MATO GROSSO DO SUL;FIGUEIRÃO;3443;53627.80859375;15575.90039062
RIO GRANDE DO SUL;BARRA DO RIO AZUL;1978;28652.81054688;14485.75
PERNAMBUCO;JATOBÁ;14452;54845.26953125;3795.0
RONDÔNIA;URUPÁ;13661;119746.1875;8765.54980469
MINAS GERAIS;CORONEL MURTA;9423;38242.24609375;4058.38989258
MARANHÃO;AMAPÁ DO MARANHÃO;6451;25270.69335938;3917.33007812
PARANÁ;BOM JESUS DO SUL;3879;30541.72265625;7873.60986328
AMAZONAS;ITAMARATI;8281;36895.9296875;4455.49023438
SERGIPE;SÃO FRANCISCO;3007;16125.22753906;5362.56005859
BAHIA;ENCRUZILHADA;20720;109143.96875;5267.56982422
MINAS GERAIS;CRISTINA;11478;85793.3203125;7474.58984375
BAHIA;TAPIRAMUTÁ;17879;73053.015625;4085.9699707
MINAS GERAIS;TEÓFILO OTONI;130517;1154886.25;8848.54980469
PARANÁ;RIO NEGRO;31191;571634.125;18326.890625
RIO GRANDE DO NORTE;SANTA CRUZ;35095;158790.6875;4524.60009766
PARAÍBA;CALDAS BRANDÃO;5544;25826.90234375;4658.52978516
MINAS GERAIS;SÃO SEBASTIÃO DA BELA VISTA;5193;54842.71875;10560.88964844
BAHIA;VEREDA;7346;48446.7578125;6594.97998047
CEARÁ;CEDRO;25591;90544.5234375;3538.13989258
PARANÁ;CANDÓI;16271;200941.53125;12349.66992188
MINAS GERAIS;ITAMBACURI;23386;134253.15625;5740.75
ESPIRITO SANTO;SÃO MATEUS;101613;956261.75;9410.8203125
SÃO PAULO;VISTA ALEGRE DO ALTO;6874;144300.53125;20992.22070312
MARANHÃO;LAGO DA PEDRA;44272;152434.625;3443.13989258
MINAS GERAIS;ALVARENGA;4545;22330.44921875;4913.18994141
RIO GRANDE DO SUL;SÃO VICENTE DO SUL;8659;110058.625;12710.3203125
GOIÁS;NOVA IGUAÇU DE GOIÁS;2678;19991.43359375;7465.06005859
RIO GRANDE DO SUL;JAGUARÃO;28244;364778.5;12915.25976562
RIO GRANDE DO NORTE;VENHA-VER;3612;16099.59863281;4457.25
PARAÍBA;DAMIÃO;4998;18189.4609375;3639.35009766
TOCANTINS;BERNARDO SAYÃO;4653;50220.328125;10793.11035156
RIO GRANDE DO NORTE;CEARÁ-MIRIM;67869;350788.21875;5168.60986328
RIO GRANDE DO NORTE;BREJINHO;11585;57726.13671875;4982.83007812
PARANÁ;RAMILÂNDIA;4365;38851.65234375;8900.71972656
PARANÁ;CORONEL DOMINGOS SOARES;7864;70627.1796875;8981.08007812
MARANHÃO;LIMA CAMPOS;11794;41257.61328125;3498.18994141
SANTA CATARINA;DOUTOR PEDRINHO;3432;38462.61328125;11207.05957031
PARÁ;CANAÃ DOS CARAJÁS;27675;852967.1875;30820.859375
RIO GRANDE DO SUL;FAXINAL DO SOTURNO;6407;93779.3671875;14637.01953125
MINAS GERAIS;MATIAS CARDOSO;11037;87891.2890625;7963.33007812
MINAS GERAIS;OLIVEIRA FORTES;1951;14545.58398438;7455.45019531
SÃO PAULO;CORDEIRÓPOLIS;20720;1366099.25;65931.4296875
MATO GROSSO;NOVA BANDEIRANTES;14078;192547.828125;13677.20996094
RIO GRANDE DO SUL;TUCUNDUVA;5988;117462.90625;19616.38085938
PERNAMBUCO;VERTENTE DO LÉRIO;7464;36315.22265625;4865.37988281
SANTA CATARINA;PAINEL;2357;29384.24804688;12466.79980469
AMAZONAS;BENJAMIN CONSTANT;31195;116750.1015625;3742.59008789
ESPIRITO SANTO;ARACRUZ;78658;1975875.25;25119.8203125
CEARÁ;AURORA;25113;89467.84375;3562.61010742
PARAÍBA;MASSARANDUBA;12946;52693.06640625;4070.2199707
CEARÁ;SÃO GONÇALO DO AMARANTE;42962;659916.25;15360.45996094
GOIÁS;BOM JESUS DE GOIÁS;21103;283610.65625;13439.34960938
PERNAMBUCO;GLÓRIA DO GOITÁ;28289;100163.0703125;3540.70996094
SÃO PAULO;ÁGUAS DE SÃO PEDRO;2613;50880.55078125;19472.08007812
SÃO PAULO;MONTE ALEGRE DO SUL;7473;93054.9453125;12452.15039062
MARANHÃO;TASSO FRAGOSO;6890;252911.84375;36707.08984375
PARANÁ;NOVA OLÍMPIA;5391;36311.59765625;6735.60009766
PERNAMBUCO;FLORES;23034;78994.1953125;3429.45996094
SANTA CATARINA;ARROIO TRINTA;3638;47939.61328125;13177.45996094
ESPIRITO SANTO;LARANJA DA TERRA;11136;69701.8984375;6259.14990234
TOCANTINS;CRISTALÂNDIA;6628;60872.33984375;9184.12011719
PIAUÍ;SÃO LOURENÇO DO PIAUÍ;5115;13126.82519531;2566.34008789
MINAS GERAIS;RIO PIRACICABA;14846;118772.3828125;8000.29980469
MINAS GERAIS;URUANA DE MINAS;2747;29089.09375;10589.40039062
RIO GRANDE DO SUL;CÂNDIDO GODÓI;6722;95233.1640625;14167.37988281
SÃO PAULO;VOTUPORANGA;81279;1138017.0;14001.37011719
MINAS GERAIS;ALFREDO VASCONCELOS;6300;45348.81640625;7198.22998047
TOCANTINS;COMBINADO;5070;35322.8828125;6967.04003906
MATO GROSSO DO SUL;RIBAS DO RIO PARDO;20077;407836.15625;20313.59960938
PARÁ;INHANGAPI;10377;32318.24804688;3114.40991211
MINAS GERAIS;VARGEM BONITA;2140;23029.76171875;10761.5703125
RIO GRANDE DO SUL;NOVA PÁDUA;2598;49243.48046875;18954.38085938
RIO GRANDE DO SUL;IGREJINHA;33551;690711.4375;20586.91015625
PARANÁ;ANDIRÁ;21964;343282.375;15629.3203125
SANTA CATARINA;IBIRAMA;17469;210702.828125;12061.53027344
MINAS GERAIS;ITAGUARA;12956;111868.46875;8634.49023438
RIO GRANDE DO SUL;DOM PEDRITO;38767;680121.875;17543.83984375
RIO GRANDE DO NORTE;JOÃO CÂMARA;31518;146441.625;4646.29003906
CEARÁ;ASSARÉ;22550;76518.9765625;3393.30004883
RIO GRANDE DO SUL;CAÇAPAVA DO SUL;33060;407264.375;12318.95019531
SANTA CATARINA;JARAGUÁ DO SUL;139017;4697090.0;33787.87890625
BAHIA;BARRO PRETO;6417;27834.43945312;4337.60986328
PIAUÍ;SÃO FÉLIX DO PIAUÍ;3201;11539.94238281;3605.11010742
ALAGOAS;IBATEGUARA;15863;56599.32421875;3568.01000977
MINAS GERAIS;MADRE DE DEUS DE MINAS;5173;53308.85546875;10305.20996094
SANTA CATARINA;GUARUJÁ DO SUL;4870;97872.625;20097.05078125
TOCANTINS;PONTE ALTA DO BOM JESUS;4664;25679.44921875;5505.89013672
PARAÍBA;PAULISTA;12004;52906.15625;4407.37988281
CEARÁ;JAGUARIBE;36493;206077.078125;5647.02978516
MINAS GERAIS;IBIRACI;11593;362894.21875;31302.86914062
MATO GROSSO DO SUL;CAMPO GRANDE;755107;11645484.0;15422.29980469
GOIÁS;GUARAÍTA;2370;16679.578125;7037.79980469
SANTA CATARINA;IRINEÓPOLIS;10748;186795.125;17379.51953125
MINAS GERAIS;SANTA RITA DE CALDAS;9333;101948.3046875;10923.41992188
SANTA CATARINA;CAIBI;6392;100527.7578125;15727.12011719
TOCANTINS;GURUPI;74357;934583.625;12568.87011719
RONDÔNIA;VALE DO PARAÍSO;8913;88993.171875;9984.65039062
GOIÁS;SANTA BÁRBARA DE GOIÁS;6031;49571.890625;8219.50976562
PARANÁ;ARAPOTI;26998;519706.75;19249.8203125
MINAS GERAIS;CARRANCAS;4182;40828.19140625;9762.83984375
SÃO PAULO;PALMEIRA D'OESTE;9706;108116.234375;11139.11035156
SANTA CATARINA;GASPAR;55489;1179397.125;21254.609375
RIO GRANDE DO NORTE;SÃO PAULO DO POTENGI;15017;87246.09375;5809.81982422
MINAS GERAIS;BELO ORIENTE;22555;467006.375;20705.23046875
RIO GRANDE DO SUL;NOVO XINGU;1926;21380.43359375;11100.95019531
PARAÍBA;SÃO JOSÉ DE CAIANA;6141;22382.828125;3644.82006836
PARANÁ;LIDIANÓPOLIS;4083;32365.92578125;7927.0
RIO GRANDE DO NORTE;PARANÁ;4039;16883.234375;4180.04980469
RIO GRANDE DO NORTE;SÃO FRANCISCO DO OESTE;3807;19215.29296875;5047.35986328
ALAGOAS;UNIÃO DOS PALMARES;62727;400757.65625;6388.91992188
MINAS GERAIS;CAMPANÁRIO;3757;27105.78320312;7214.74023438
MINAS GERAIS;ÁGUA BOA;16643;86572.0078125;5201.70996094
RIO GRANDE DO SUL;VITÓRIA DAS MISSÕES;3676;44029.72265625;11977.62011719
MINAS GERAIS;CORONEL PACHECO;2427;21314.23242188;8782.12988281
MINAS GERAIS;IBIRITÉ;157438;1070732.0;6800.97998047
MINAS GERAIS;ITAMARATI DE MINAS;4232;37053.9765625;8755.66992188
ACRE;PLÁCIDO DE CASTRO;18235;204410.5625;11209.79003906
MINAS GERAIS;ALBERTINA;2976;21112.73632812;7094.33007812
MINAS GERAIS;RIO DO PRADO;4412;26897.79492188;6096.50976562
SANTA CATARINA;TAIÓ;17522;304213.6875;17361.81054688
